Date,Close for VIX,Closed for RV(Pt),P(t-1),log(Pt/Pt-1)=daily returns,,RV,IV(=VIX/100),IV*IV,RV*RV,VRP=IV^2-RV^2,true volatality,IV_error,RV_error,Final_IV,Final_RV,Final_VRP
20-Jan-2026,16.9,16.65,16.79,-0.003636458296,,0.1665,0.169,0.028561,0.02772225,0.00083875,0.16775,0.00125,-0.00125,0.16775,0.16775,-0.0025
21-Jan-2026,15.64,16.44,16.65,-0.005512424638,,0.1644,0.1564,0.02446096,0.02702736,-0.0025664,0.1604,-0.004,0.004,0.1604,0.1604,0.008
22-Jan-2026,16.09,16.92,16.44,0.0124985455,,0.1692,0.1609,0.02588881,0.02862864,-0.00273983,0.16505,-0.00415,0.00415,0.16505,0.16505,0.0083
23-Jan-2026,16.15,16.21,16.92,-0.01861734385,,0.1621,0.1615,0.02608225,0.02627641,-0.00019416,0.1618,-0.0003,0.0003,0.1618,0.1618,0.0006
26-Jan-2026,16.35,16.68,16.21,0.01241303145,,0.1668,0.1635,0.02673225,0.02782224,-0.00108999,0.16515,-0.00165,0.00165,0.16515,0.16515,0.0033
27-Jan-2026,16.35,17.18,16.68,0.01282711319,,0.1718,0.1635,0.02673225,0.02951524,-0.00278299,0.16765,-0.00415,0.00415,0.16765,0.16765,0.0083
28-Jan-2026,16.88,16.3,17.18,-0.02283555509,,0.163,0.1688,0.02849344,0.026569,0.00192444,0.1659,0.0029,-0.0029,0.1659,0.1659,-0.0058
29-Jan-2026,17.44,16.77,16.3,0.0123454582,,0.1677,0.1744,0.03041536,0.02812329,0.00229207,0.17105,0.00335,-0.00335,0.17105,0.17105,-0.0067
30-Jan-2026,16.34,16.89,16.77,0.003096586965,,0.1689,0.1634,0.02669956,0.02852721,-0.00182765,0.16615,-0.00275,0.00275,0.16615,0.16615,0.0055
02-Feb-2026,18,18.51,16.89,0.03977676918,,0.1851,0.18,0.0324,0.03426201,-0.00186201,0.18255,-0.00255,0.00255,0.18255,0.18255,0.0051
03-Feb-2026,18.64,18.2,18.51,-0.007335030768,,0.182,0.1864,0.03474496,0.033124,0.00162096,0.1842,0.0022,-0.0022,0.1842,0.1842,-0.0044
05-Feb-2026,21.77,20.9,18.2,0.06007489813,,0.209,0.2177,0.04739329,0.043681,0.00371229,0.21335,0.00435,-0.00435,0.21335,0.21335,-0.0087
06-Feb-2026,20.37,20.43,20.9,-0.009877919479,,0.2043,0.2037,0.04149369,0.04173849,-0.0002448,0.204,-0.0003,0.0003,0.204,0.204,0.0006
09-Feb-2026,17.36,20.05,20.43,-0.008153989676,,0.2005,0.1736,0.03013696,0.04020025,-0.01006329,0.18705,-0.01345,0.01345,0.18705,0.18705,0.0269
10-Feb-2026,17.79,19.32,20.05,-0.01610725488,,0.1932,0.1779,0.03164841,0.03732624,-0.00567783,0.18555,-0.00765,0.00765,0.18555,0.18555,0.0153
11-Feb-2026,17.65,18.37,19.32,-0.02189796577,,0.1837,0.1765,0.03115225,0.03374569,-0.00259344,0.1801,-0.0036,0.0036,0.1801,0.1801,0.0072
12-Feb-2026,20.82,19.49,18.37,0.02570268281,,0.1949,0.2082,0.04334724,0.03798601,0.00536123,0.20155,0.00665,-0.00665,0.20155,0.20155,-0.0133
13-Feb-2026,20.97,18.1,19.49,-0.03213326425,,0.181,0.2097,0.04397409,0.032761,0.01121309,0.19535,0.01435,-0.01435,0.19535,0.19535,-0.0287
16-Feb-2026,24.98,24.98,18.1,0.1399138592,,0.2498,0.2498,0.06240004,0.06240004,0,0.2498,0,0,0.2498,0.2498,0
17-Feb-2026,20.29,23.4,24.98,-0.02837657663,,0.234,0.2029,0.04116841,0.054756,-0.01358759,0.21845,-0.01555,0.01555,0.21845,0.21845,0.0311
18-Feb-2026,19.62,24.34,23.4,0.01710471648,,0.2434,0.1962,0.03849444,0.05924356,-0.02074912,0.2198,-0.0236,0.0236,0.2198,0.2198,0.0472
19-Feb-2026,20.23,24.46,24.34,0.002135878806,,0.2446,0.2023,0.04092529,0.05982916,-0.01890387,0.22345,-0.02115,0.02115,0.22345,0.22345,0.0423
20-Feb-2026,19.09,22.83,24.46,-0.02995054121,,0.2283,0.1909,0.03644281,0.05212089,-0.01567808,0.2096,-0.0187,0.0187,0.2096,0.2096,0.0374
23-Feb-2026,21.01,26.23,22.83,0.0602923791,,0.2623,0.2101,0.04414201,0.06880129,-0.02465928,0.2362,-0.0261,0.0261,0.2362,0.2362,0.0522
24-Feb-2026,19.55,26.03,26.23,-0.003324122481,,0.2603,0.1955,0.03822025,0.06775609,-0.02953584,0.2279,-0.0324,0.0324,0.2279,0.2279,0.0648
25-Feb-2026,17.93,24.69,26.03,-0.02295307818,,0.2469,0.1793,0.03214849,0.06095961,-0.02881112,0.2131,-0.0338,0.0338,0.2131,0.2131,0.0676
26-Feb-2026,18.63,26.15,24.69,0.02495060327,,0.2615,0.1863,0.03470769,0.06838225,-0.03367456,0.2239,-0.0376,0.0376,0.2239,0.2239,0.0752
27-Feb-2026,19.86,22.4,26.15,-0.06722367487,,0.224,0.1986,0.03944196,0.050176,-0.01073404,0.2113,-0.0127,0.0127,0.2113,0.2113,0.0254
02-Mar-2026,21.44,28.3,22.4,0.1015384172,,0.283,0.2144,0.04596736,0.080089,-0.03412164,0.2487,-0.0343,0.0343,0.2487,0.2487,0.0686
03-Mar-2026,23.57,28.55,28.3,0.003819677058,,0.2855,0.2357,0.05555449,0.08151025,-0.02595576,0.2606,-0.0249,0.0249,0.2606,0.2606,0.0498
04-Mar-2026,21.15,28.09,28.55,-0.00705437338,,0.2809,0.2115,0.04473225,0.07890481,-0.03417256,0.2462,-0.0347,0.0347,0.2462,0.2462,0.0694
05-Mar-2026,23.75,30.31,28.09,0.03303419717,,0.3031,0.2375,0.05640625,0.09186961,-0.03546336,0.2703,-0.0328,0.0328,0.2703,0.2703,0.0656
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Date,RV Value (Sync),,,,,,,,,,,
,,,,04-Dec-2025,11.84,,,,,,,,,,,
,,,,05-Dec-2025,11.9,,,,,,,,,,,
,,,,06-Dec-2025,11.97,,,,,,,,,,,
,,,,09-Dec-2025,12.03,,,,,,,,,,,
,,,,10-Dec-2025,12.1,,,,,,,,,,,
,,,,11-Dec-2025,12.16,,,,,,,,,,,
,,,,12-Dec-2025,12.23,,,,,,,,,,,
,,,,15-Dec-2025,12.29,,,,,,,,,,,
,,,,16-Dec-2025,12.36,,,,,,,,,,,
,,,,17-Dec-2025,12.42 (Fixed point),,,,,,,,,,,
